tweet,bencana
sudah banjir setinggi dengkul,banjir
astagfirullah barusan gempa di cilacap  yang ini serem dan lama,gempa
tiap awal tahun tuh emg suka banyak bgt longsor di manamana tai masih aja dikaitin ini itu,longsor
trending topic gempa mag sampe daerah purbalingga dan saat sekolah pun heboh,lainnya
selatan udh mulai banjir utara tgl nunggu waktunya aja,banjir
akhirnya nyampe depok jg  begitu sampe tempatnya disambut sama gempa bumi kecil  alhamdulilah nggak kenapa,gempa
aku mau bikin thread khusus yang rumahnya pada di daerah rawan longsor ada yang berminat,longsor
gempa di barat daya kebumen jateng jadi trend topic nomor di twitter,lainnya
anjir malah seneng sama banjir,banjir
ada gempa brasa bgt mobil gw goyang  sndiri ga jls,gempa
untungnya ga ada korban jiwa soalnya longsornya parah banget,longsor
kesian bangett keluarga gua di purwokertobanyumas kena getaran gempa tpi alhamdulillah enggak kenapa,lainnya
dikepung banjir di kelapa gading,banjir
gempa parah guys di gedebage dan sekitar,gempa
mobil aku kena korban longsoran untungnya bisa sih diasuransi cuma ya,longsor
infonya sih ini katanya gempa mag srjan wib km barat daya kebumenjateng,lainnya
kejebak banjir untung di mall jadi bisa belanja,banjir
baru saja terasa gempa di jatiasih bekasi  tanah sampai getar  lampu  goyang,gempa
longsor di mana mana yak daerah gue juga ada kasian bgt sama yang punya rumah,longsor
angin puting beliung banjir gempa bumi tanah longsor bencana alam di indonesia itu semua peringatan dari allah swt agar manusia taubat,lainnya
gokil pulang banjir banjiran,banjir
gw kira adek gw lagi loncat  tempat tidur  taunya gempa beneran,gempa
naik motor aja kena macet akibat longsoran lama banget apalagi mobil ga kebayang,longsor
ada gasto ga ya kaget merasakan gempa jupe panik keluar kamar hotel nyaris tanpa pakaian via,lainnya
terus gua pulangnya gimana apa harus main banjir banjiran nih,banjir
gila gempa  krl  sampe berhenti di stasiun juanda  org  belarian keluar  skrg msh gempa ga sih,gempa
masih bersyukur longsornya ga parah semoga ga ada susulan,longsor
gempa di gunung kembar bi mumun,lainnya
karna banjir kita makan dirumah aja,banjir
astagfirullah gempa tersa bgd dikantor moga ga ad bencana ap  ya allah  amin,gempa
huaaa katanya bakal ada longsor susulan,longsor
innalillahi negriku hari ini banjir belum surut gunung meletus masih beraksi banjir bandang kembali masih ditambah longsor dan gempa,lainnya
banjir tambah naik dri selutut skrg jd sepaha,banjir
lagi ngurus  kuliah  kok tiba  gempa di kampus,gempa
mana sempat keburu tanah longsor,longsor
gempa tadi gimana kalian dan disekeliling kalian gpp kan,lainnya
banjir menjadi penghambat,banjir
kenceng nih gempa gw ampe kleyengan gw pikir darah rendah gw kumat ya tuhan,gempa
kampungku ndak pernah lepas dari longsor,longsor
pray for yogyakarta yang dilanda gempa bumi berkekuatan skala richter semoga tidak ada korban jiwa,lainnya
gara banjir parah dan bikin macet total,banjir
gempa pas di kelas  gokil gedung keluar semua,gempa
bukan bukan karna ujan longsornya karna tanah dikeruk gitu,longsor
sabar yang di jogja dan sekitarnya td siang yg terkena gempa smoga kalian baik ajah disana,lainnya
kalo sudah banjir gini bingung mau kemana mana ,banjir
gila  beneran ada gempa  gw lagi asik  luluran tiba  mbaknya ninggalin gw di ruangan sendirian sialan,gempa
uruk aja terus uruk longsor kan jadinya,longsor
banjir ambles dan gempa jadi sapaan awal tahun indonesia,lainnya
dpn rumah gue aje udh banjir ya allah banjir dmna mana,banjir
gempa di kantor ku  berasa bener semua berhamburan turun tangga  sekarang udah tenang,gempa
hari ini ga kelas karna dosenku katanya kena longsorr,longsor
semoga pagi indah dihari ini bisa sedikit meredakan duka saudara saudara ku yang terkena bencana gempa kemarin,lainnya
males pulang banjir,banjir
gile  lg blajar tiba  ranjang gw goyang  gw pikir setan tau  gempa,gempa
kasian banget kejebak longsor untungnya gercep sih warga jadinya mash bisa diselaetin,longsor
ya saya dita septiani melaporkan langsung dari twitter kejadian gempa kemaren di barat daya kebumen jateng masih menjadi trend topic,lainnya
gampang banget banjir sih sekarang,banjir
gempa gede bgt pd ngerasain gk disini semua pd keluar rumah goyang bgt br ngerasain gempa sgede ini,gempa
katanya jalanan ditutup karna ada longsor,longsor
alamak ki kusumo habis banjir bakal ada gempa gunung meletus,lainnya
banjir pagi ini oke banget bening,banjir
di fatmawati terasa gempa  terbesarnya di daerah mana ya  soalnya disini aja lumayan terasa bgt dan lama,gempa
yang mo lewat puncak dah bisa ges tadi gue lewat tinggal tanah aja tp hati licinn,longsor
posko bantuan banyak yang menggunakan logo partai masih ada saja partai yang memanfaatkan korban bencana banjir tanah longsor gempa bumi,lainnya
banjir lagi kacau deh,banjir
lagi enak  duduk di toilet kirain pusing sampe badan muter ga tau nya gempa,gempa
rumah sebelah batu batunya pada longsor mana bunyinya serem,longsor
ya ampun jogja gempa lagi take care semuanya semoga kita semua selalu dalam lindungan langit dan bumi milik tuhan semesta alam amin,lainnya
masih banjir gimana besok sekolah,banjir
gw lagi di gading  dan  gempa bgt lari  dari lantai atass,gempa
pls kawasan rumah gw dari jam pagi kemaren sampe detik ini mati air anjir grgr pdam katanya ada longsor dmn gatau,longsor
gempa terjadi dikebumen pkl dengan kekuatan sr km barat daya sumber bmkg smoga tdk ada korban jiwa,lainnya
makan dulu setelah menerjang banjir,banjir
gempa di grand indo mayan sob  bikin panik juga orang  pada turun semua ohh gosh,gempa
jd daerahku kaya ada yg di dataran rendah sama dataran tinggi tetangga yg di dataran rendah ini ngeruk tanah biar rumahnya tambah lebar soalnya dia tanahnya udah mentok semua otomatis kl dikeruk terus tanah dr dataran tinggi bisa longsor dong dan longsor pun tiba,longsor
terdengar gempa dikebumen jawa tengah semoga warga kebumen diberi kesabaran dalam menghadapi cobaan amin,lainnya
kalo banjir begini makanan dikos ya cuma mie instan,banjir
lagi asik  maen komputer mlah gempa  langsung lari ke luar rumah  untung ga gede,gempa
di sini masih aman desadesa tetangga yang terendam disertai tanah longsor orang dinyatakan hilang,longsor
sesaat setelah gempa menguncang bandara adi sucipto jogjakarta sabtu januari pukul wib,lainnya
paling bsk bangun depan udah banjir lg kyk tadi pagi,banjir
yaa alloh  jakarta kena gempa  kantor pusat djkn kayak mau rubuh  alhamdulillah gada korban,gempa
tetangga lagi heboh perihal longsor,longsor
metrotv waspadai gempa megathrust di selatan jawa,lainnya
banjir belum spenuhnya surut udah hujan lagi,banjir
gempa di semanggi  smua org keluar  gw pusing,gempa
habis kepanikan karena rumah tetangga kena longsor dan depan rumah emak retakretak,longsor
gila lu sob ganteng badaiii tsunami topan banjir puting beliung gempa bumi gunung meletus yoi men lo bgttt,lainnya
menerjang banjir demi cari makan,banjir
lagi merokok di depan ketika gempa  jadi langsung ke depan dengan mudah,gempa
gw juga kna musibah rumah gw ambruk kna longsor gk ada bantuan sama sekali,longsor
masukin toko bagus aja haha ini rumah baru gempa kali ya berantakan luar dalem jual ah ke mbah min,lainnya
makan sambil liat banjir,banjir
pamulang gempa cukup keras sekitar detik kita berhamburan keluar rumah alhamdulillah tdk ada kejadian apa disini,gempa
mau bersyukur dikasih hujan tapi takut longsor,longsor
apa aja gunung meletus kebakaran banjir bandang air laut surut gempa longsor msh banyak lagi,lainnya
menembus banjir demi belanja bahan makanan,banjir
astagfirullah gempa  lg belajar tau  meja gue gerak  sendiri  gue kira ada setan,gempa
abis nyumbangnya kejauhan desa tetangga yg kena longsor dibiarin,longsor
jadi inget dulu pas sd ada penyuluhan gempa tapi pas gempa beneran lupa semua,lainnya
abis banjiran trus ditraktir bos,banjir
ternyata gempa yah  gw tadi pas lagi sholat goyang  gw pikir vertigo gw kambuh,gempa
rumah tetangga tadi pagi longsor untung rumah gw kaga kena,longsor
di jateng gempa teman teman yg dsana gimana kabarnya ya at grand soho slipi jl parman kav,lainnya
gimana ini sudah kena banjir,banjir
rumah gw goyang   sumpah   kayak mau rubuh   bandung juga gempa guys,gempa
di deket rumah ada yang longsor tadi sore ada rumah tetangga kebawa longsor tp untung gak ada korban jiwa,longsor
informasi aktivitas gunung kelud gempa vulkanik dangkal kali gempa vulkanik dalam kali,lainnya
banjir tambah dalem,banjir
gempa di pondok indah  kita sampe bawa anak  keluar rumah,gempa
neneku masih ngungsi karna takut ada longsor susulan,longsor
anak krakatau yg gue ngeri dari banjir gempa skrng gunung meletus astagfirullah yaallah selamatkanlah kmi dalam,lainnya
lapor rumah udh kerendem banjir,banjir
ya allah gempa di bintaro  baru kali ini berasa goyang banget,gempa
untung longsornya di tanah kosongan gitu sih,longsor
duh rumah gue jg pertnda waspada anak krakatau terjadi gempa vulkanik di gunung anak krakatau,lainnya
basah kuyup banjir jalanan,banjir
kpala gw pusiing  yampun  gw kira ada yg lg ngebor jalan  ampe kompi gw goyang  ternyata gempa  dmn lumayan kenceng lama pula,gempa
sekarang jalan bagus tapi dimana mana tumpukan kerikil bekas longsoran dari tebing tebing yang tinggi,longsor
kasian sexli temenku dijogya khawatir gelegar gempa,lainnya
banjir sih tapi motornya aman kok kalo jalannya pelan,banjir
guys serius gempa bumi  td gue ngerasa lg naek motor tb  goyang,gempa
ngeri banget lagi main di bukit tiba tiba longsor untung ga kenapa,longsor
bersiap siap lutusan susulan gempa juga akan datang bismillah,lainnya
menerjang banjir jatoh sampe naik mobil polisi buat ke kantor,banjir
baru sadar gempa waktu liat bandul besi di kamar gua gerak sendiri  gua kira gua yang pusing wow,gempa
kapan ya bisa renovasi rumah yang kemarin kena longsor,longsor
disepertiga malam ini teriring doa bagi saudaraku nun jauh disana dan gempa jogja semoga selamat semuanya,lainnya
buka pintu udah banjir,banjir
gempa dahsyaaaat di sarinah  kita smua dievakuasiii  astaga  takuuut,gempa
untung cuma retak aja sih ada beberapa rumah kena longsoran ringsek parah,longsor
peta zonasi gempa jkt amp kota terlambat mitigasi perbaiki sblm terlambat,lainnya
depan rumah gue aja banjir gimana sekolah,banjir
gempa lagi gengs  tapi kali ini lebih santuy,gempa
masih aja deh dijadiin bercandaan padahal rumah juga rawan longsor,longsor
kiamat deh kalo smp meletus masih waspada gunung anak krakatau gempa kali,lainnya
pulang kerja hujan hujanan banjir pula,banjir
gempa yang ku alami kesekian kalinya di tahun,gempa
katanya sih jatoh karna kepleset tanah yang longsor gitu untung cuma lecet ga sampe ketimbun,longsor
bencana di kabinet indonesia bersatu tsunami gunung meletus banjir gempa kecelakaan pesawat bus dan kereta kapal tenggelam,lainnya
belom surut nih banjir di tempat gw,banjir
ada gempa gue santai makan pisang yaudahlah udah cape juga lari,gempa
penambangan pasir didesaku ini sangat byk bahkan sudah ada byk yg mulai longsor krn digali secara masif,longsor
tema hari ini pasang paku dijemuran paku nye nembus tembol sampe dalam terus geter kaya gempa,lainnya
kapan surut nya nih banjir capek,banjir
kaget banget barusan di dom gua gempa anjir,gempa
sampe saat ini sih masih aman tapi tetep aja waspada sama longsor susulan,longsor
semesta memberikan tanda sebelum peristiwa gempa sebelum erupsi awan sebelum hujan,lainnya
masih banjir sih setau gw msih byk yg dtg ngungsi mlm ini,banjir
lagi pesen makanan tahu tahu gempa,gempa
semalam info dr rekan ada longsor di dsn harusnya sdh clear tetap waspada akan bahaya longsor,longsor
keramat itu flm inget pas gempa jogja,lainnya
menerjang banjir rasanya luar biasa,banjir
gempa kenceng banget lama gue turun tangga dari lantai,gempa
yang aneh kok jalanan udah retak gitu masih aja di lewatin udah ga takut longsor apa,longsor
km ngerasain ga gempa ga dimana ada gempa disini di jatung ak setiap deket sama km jantung ak berdegup kencang cieee yg lg di gomblin,lainnya
rumah gue masih banjir,banjir
gempa bngst mane gue lagi di warnet lagi,gempa
udah kok tadi aku lewatin udah bisa cuma hati aja takutnya bakal ada longsor lagi,longsor
sertai dan berkati keluarga yg di nias ya tuhan terlebih dgn isu gempa yg terjadi akhir ini,lainnya
berjuang menerabas banjir di kelapa gading,banjir
aku lagi sholat di kampus terus goyang gempa ya gaes,gempa
bahaya ka banyak longsor,longsor
allah telah memberikan mention melalui tsunami dan gempa bumi apakah harus diretweet kembali agar kita sadar,lainnya
banjir dek sepinggang tempat ibu,banjir
buset gempa di ruangan kenceng bener,gempa
kayaknya sih pas bangun jalannya ga bener jadinya longsor,longsor
kalau perut udah lapar bumi pun terasa seperti gempa,lainnya
berangkat banjir pulang banjir,banjir
gempa berasa di pasar minggu tetangga pada keluar,gempa
bagus sih bagus pemandangannya cuma takut longsor,longsor
ya banyak tsunami desember gempa desember juga,lainnya
banjir sampe paha di jalanan,banjir
berasa muter semua nih pusing gempa ya muter semuanya,gempa
dulu belakang rumah kakekku kan ada sawah bagus banget bertingkat gitu cuma sayang banget karna longsor jadi rusak ga sebagus dulu,longsor
meja kerja ibarat abis kena gempa bumi hebat berantakan,lainnya
buset dari pagi sampai malem ujan terus sampai banjir selokanya,banjir
berasa bener gempa di lantai sudirman park apartment,gempa
dari tadi di tl lewat berita longsor jadi inget pas camping kena longsoran untung gue ga knp,longsor
berdoa untuk wilayah mentawai dan seluruh wilayah yang berada di dekat zona subduksio agar tidak terjadi gempatsunami o,lainnya
kalo lagi banjir gini emang paling enak tidur,banjir
gempa kerasa banget ampe ke rumahh asstagfirullah,gempa
hari ini nangiss parah dapet telpon dari ibuku di bogor katanyaa sekarang lagi ngungsi karena longsor huhu dan susah tidur tiap hari karena masi traumaa,longsor
kakek nenek di gunung gung gunung kidul gempa kakek nenek gue gimane tuh,lainnya
bikin pusing aja nih banjir nambah kerjaan gw,banjir
tadi itu gempa astajim ngenes amat gue ngerasain gempa pas lagi pup,gempa
niatnya mau liburan jadi kena musibah gini padahal ga ada ujan tapi kok longsor,longsor
gempa d chilichile berpotensi tsunami d indonesia amazing,lainnya
nunggu banjir surut jalanan penuh air,banjir
gempa ya terasa banget lagi di kursi goyang goyang,gempa
kok pada berani ya rumah yang kena longsor masih ditempatin gitu emang ga takut ada susulan,longsor
kalian denger berita gempa di chile yg katanya efeknya bakal ada tsunami yg sampai ke indonesia besok pagi,lainnya
menikmati banjir di sore hari,banjir
selesai rapim di mcd tbtb gempa kaget,gempa
kebangun jam gegara suara angin sama hujan kenceng banget jam alarm emergency hp nyaladisuruh ngungsi gegara tanah longsor,longsor
rasa getaran gempa cili kalah besar sm rasa getaran cinta yg km berikan k akuitu baru bener gempa di cili masih kalah besar,lainnya
daerah rumahku juga suka banjir kampusku juga,banjir
pengungsi gempa dieng butuh selimut,gempa
untungnya kalo di desaku tu kepala desanya sigap gitu jadi kalo udah ujan gitu dia udah peringatin warga buat ngungsi saking seringnya longsor,longsor
belum denger berita resminya tapi dapet info ini akibat gempa di chile berakibat tsunami ini data resmi daerah,lainnya
selamat pagi banjir semoga engkau cepat surut,banjir
ada gempa saat dines di rs lantai,gempa
baru pertama kali ngeliat longsor langsung pas kkn,longsor
iya baguslah kirain ada gempa dijogja btw pringatan tsunami di pesisir pasifik udah dicabut katanya,lainnya
banjir sebetis arah halte taman kota grogol,banjir
pas lagi kerja kerasa kirain saya yg pusing ternyata gempa,gempa
padahal tuh warga udah khawatir kan takut longsor tapi ga diwaro bener aja akhirnya longsor,longsor
memastikan seluruh kepulauan di indonesia aman dari tsunami akibat gempa yang terjadi di chile,lainnya
banjir di daerah kedoya utara setinggi lutut orang dewasa,banjir
gempa lari panik keluar dari gedung naik ke atas lagi lanjut bekerja,gempa
ayo ngungsi dulu sebelum kena longsor,longsor
dampak sr di chile mencapai kepulauan solomon di samudera pasifik diperkirakan dampak tersebut tak mencapai kawasan indonesia,lainnya
tengah malam warga teriak banjir banjir,banjir
baru kali ini ngerasain gempa sampe monitor kantor goyang,gempa
saking capeknya sama longsor kayak udah pasrah aja lah mo gimana lagi,longsor
cuma geografi ya kalo gempa bukannya lari malah diitungin,lainnya
banjir sebetis depan pom bensin kedoya,banjir
terasa banget gempanya di lt daerah mana nih yang gempa,gempa
turuik prihatin atas tanah longsor di beberapo nagari sumbar,longsor
ngeri amat ya tang kita ngomonginnya bencana haha tsunami gempa gunung merapirt cetar membahana angin topan pu,lainnya
depan rumah udah mulai tergenang banjir,banjir
barusan surabaya terasa gempa ya gedung kantor,gempa
di sela evakuasi biar capek semoga menjadi berkah,longsor
dentuman dan peningkatan gempa gn merapi terjadi sejak april,lainnya
pulang malem ujan deres banjir pula lengkap,banjir
gempa sampe lari kaya orang gila inget yang kuasa aja lah,gempa
katanya karna dibangunnya ga bener jadi bisa longsor gini,longsor
gempa tektonik berkekuatan sr mengguncang kab maluku tenggara barat provinsi maluku rabu sekitar pukul wit,lainnya
aktifitas terganggu gara banjir,banjir
pas gempa pas sholat dzuhur dan pas sujud rakaat ketiga,gempa
niat mo ngedaki kan eh gajadi karna longsor,longsor
seperti indonesia juga sering terjadi bencana karna termasuk dlm zona rapat gempa amp gunung api serta bagian dari cincin api pasifik,lainnya
tiap hari maen banjir banjiran kalau mau ke kantor,banjir
gempa ini sungguh mengagetkan,gempa
longsornya parah bangett ngeri liatnya,longsor
badan meteorologi jepang pusat di lu amp bt di lepas pantai prefektur pulau izhuoshima kanagawa dengan kedalaman km,lainnya
banjir belum surut juga,banjir
gedung kantorku di jalan pemuda surabaya goyang gempa ya,gempa
macet banget karna ada longsor mana laper lagi,longsor
tim kita bravo ngikutin challenge disaster dan ngebuat aplikasi untuk menanggulangi bencana khususnya gempa bumi,lainnya
banjir setinggi paha orang dewasa di komplek,banjir
terasa gempa di kantor,gempa
tanah longsor emg ga capek nyalahin curah hujan terus,longsor
barusan live dengan bupati lagi fokus mengurus korban terdampak gempa lebih dr rumah rusak hancur yuk donasi via baznas,lainnya
banjir sepinggang kebayang kan lu,banjir
gempa lagi ya malam ini sedih,gempa
kenapa ya ibu bapak tuh betah banget padahal sering banget longsor,longsor
hari pertama puasa terdeteksi keluarga al fahri dan prasetya akan terjadi gempa dng kekuatan yg sangat besar yg akan mengakibatkan munculnya huru hara gw sangking tegangnya sampe lupa makan ronde ke nih,lainnya
gw dateng malah banjir,banjir
dibangunin temen kamar karena gempa gua antara ngantuk dan percaya ternyata benar,gempa
longsor berkali deh kemaren capek banget ngebersihin rumahnya,longsor
suara petir jam segini gede banget sampe kaget tapi gk ada hujan bener bener gede banget suaranya sumpah sampai kebangun gue japan gempa malam minggu,lainnya
banjir di pesing garden makin besar sekarang sudah diatas paha orang dewasa,banjir
gempa pas adzan magrib lindungin kami iya allah,gempa
kemarin abis bantuin bersih bekas longsor karna dari pemerintah ga ada yang bantu daripada jalan ketutup terus kan,longsor
dan para jomblo berharap untuk turun hujan gempa sr mengguncang hati para jomblo malam ini lt,lainnya
kejebak banjir dan hujan deres,banjir
lagi ngeringin rambut abis keramas malah gempa lgsg lempar hair dryer dan lompat keluar,gempa
nyaris aja kena longsor serem banget,longsor
klu kata org gempa guncangan pling hebat tpi bwt ku senyumanmu guncangan pling hbat yg bs meluluhkan hatiku,lainnya
lapangan banjir udah kaya kolam renang,banjir
goyang sendiri aja ni mobil gempa lagi padang,gempa
lagi di dalam bus tapi dari tadi busnya nggak jalanjalan gegara longsor,longsor
gempa di hati mantan kemana lo lagi ada gempa jgn kemana,lainnya
gue pengen nikmati dulu kena banjir,banjir
lagi asik makan diguncang gempa,gempa
baru mau naik gunung pas nyampe sana ga bisa katanya lagi ada perbaikan longsor,longsor
gempa hebohkan warga semarang temanggung dan grobogan smoga teman aman,lainnya
banjir nih depan rumah dalem tapi di dalem cuma setelapak kaki,banjir
pesertapun panik karna gempa,gempa
kemarin udah dievakuasi sih serem kayaknya ini longsor terparah,longsor
ngopi sambil dengerin berita banjir longsor gunung meletus gempa ini yg kurang angin at udins coffe shop,lainnya
parah lagi lagi banjir tapi tahun ini terparah,banjir
berhambur keluar ruangan alarm gempa bunyi,gempa
capek sih buk musim bencana nih abis kena tanah longsor nih,longsor
kunjungan kerja kepala bkkbn amp serahkan bantuan gempa bumi di kab pidie jaya provaceh bantuan diterima oleh wakil bupati h said mulyadi,lainnya
pulang lagi sekolahan banjir nya makin dalem,banjir
brusan ada gempa serasa naek ombak,gempa
capek seharian melahap longsorhihi,longsor
kepala bkkbn menyerahkan bantuan kepada korban gempa aceh diterima oleh wabup pidie jaya,lainnya
gara banjir ngungsi numpang tidur semalam,banjir
dirumah sendiri dan kejadian mati lampu sm gempa lagi panik,gempa
kayaknya sih bakal ada longsor susulan soalnya keliatan banget masih pengen longsor tanahnya,longsor
ada kabar dari teman gempa didaerah bantul mohon info benar gak,lainnya
kesian nenek banjir keluar masuk banjir dan ini yg kelima kalinya,banjir
gempa yg ckup membuat kaget nih wlaupun cman bntar,gempa
keknya mau hujan deres lagi takut aja sih rumah kena longsor lagi secara tanah abis kering kerontang langsung kena air banyak,longsor
rumah adat dgn arsitektur sperti ini merupakan hasil adaptasi thdp bencana gempa,lainnya
seriusan banjir lagi di karina udah banjir loh,banjir
barusan gempa katanya orang kantor kenceng banget,gempa
kalo longsor gini tuh yang mau disalahin siapa sih warganya apa teknik sipil yang ngebangun desaku,longsor
pd dasarnya arsitektur tradisional di nusantara berbasis adaptasi terhadap gempa sbg contoh rumah panggung,lainnya
baru juga surut dah banjir ajah,banjir
gw lg oprasi tadi pas gempa anjir untung bentar doang,gempa
ini udah longsor ke yaampun kapan sih berentinya,longsor
puluhan ribu korban gempa aceh berada di tempat pengungsian,lainnya
sampe kantor lapernya luar biasa dan sekeliling kantor masih banjir,banjir
gempa beruntun udah gede lama pulak astagfirullah,gempa
gaes hati ya kalo bisa dirumah aja selain ada corona jalanan lagi rawan longsor juga,longsor
indonesia aceh pidie ayo bantu korban gempa mari ringankan beban sesama,lainnya
siap menerjang banjir didepan trisakti,banjir
lagi makan tiba tiba gempa,gempa
putar balik karna ada longsor,longsor
ayo bantu gempa pidie aceh islamic center alislam bekasi,lainnya
kantor banjir dan terpaksa naik truk untuk kekantor,banjir
takut setengah mati gempa nya kenceng banget,gempa
kayaknya indo harus belajar gasih dari jepang dijepang tuh sering longsor tapi penanganan sm pembangunannya cepet lah ini boro,longsor
penjualan tiket final aff didonasikan pada korban gempa aceh,lainnya
yg bener aja banjir hari kaga surut surut,banjir
lagi ngumpul ngumpul malah ada gempa,gempa
hati hati yang ke arah kota y ada longsor soalnya lg musin ujan,longsor
trauma gempa pelajar dikembalikan ke orang tua,lainnya
ke rmh gue sini main banjir tan baru jalan kejebak banjir pulang lagi,banjir
lagi maen ke tempat nenek gw malah ada gempa,gempa
kl ujan ada pawang ujan longsor ada ga si pawangnya capek bngt longsor terus,longsor
presiden besuk korban gempa aceh,lainnya
jalannya juga banjir susah mau berangkat ke sekolah,banjir
pas ada gempa orang orang langsung pada kabur keluar gw mah santai aja,gempa
sedih liat kampungku longsor gini,longsor
aceh kembali memanggil kita gempa aceh pidie jaya ringankan beban mereka,lainnya
banjir dari jam pagi ga bisa pulang gue,banjir
pas gempa pada panik serumah,gempa
orang bukannya takut ya ada longsor susulan ini malah mainan di tanahnya ada aja bocil,longsor
turut berduka utk saudara kita korban gempa aceh,lainnya
udah langganan banjir anak malah jadiin moment ini sebagai hiburan,banjir
rumah gw retak gara gara gempa tadi,gempa
longsor nih didepan warung sedayu,longsor
gerakan nasi bungkus sdh dimulai sjk mei gempa dan meletusnya merapi wujud gotongroyong yg jd salah inti pancasila,lainnya
tmpat gw juga banjir tp untungnya kostan gw dilantai,banjir
tembok gw goyang goyang pas gempa,gempa
longsor lur kulon terminal jomboar moga moga aja ga ada korban jiwa,longsor
moga tidak ada korban jiwa dari gempa bumi di poso dan sekitarnya,lainnya
banjir tambah tinggi hujannya berhenti kek,banjir
capek abis lari keluar gara gara gempa,gempa
kirakira gini lah situasi pengungsian longsor sekarang,longsor
buka twitter isinya astaghf gempa grgr dwp gempa grgr lgbt yaampun allah murka seru bgt pagipagi udh dapet hiburan sering dong guys biar gue sehat krn tertawa itu sehat uyey,lainnya
udah keujanan sampe rumah langsung disambut banjir di depan rumah,banjir
rumah gw si goyang parah pas gempa,gempa
kalo ada yang mo bantu korban longso bisa dm ya gaes kebetulan aku voluntir dikampungku,longsor
ditenda pengungsian korban bencana gempa di lombok utara ntb menyempatkan salat magrib berjemaah,lainnya
msh banjir ternyata,banjir
dikantor orang orang pada doa pas gempa,gempa
sedih sih pohon yang sering aku liat dari aku kecil sekarang ga ada karna longsor,longsor
nih berita apa hubungannya sukses ama kuat digoyang katanya gag boleh politisir gempa,lainnya
akhirnya depan rumah gua banjir juga,banjir
orang orang pada kabur keluar gw malah lanjut makan pas gempa tadi,gempa
ada aja dah bekas longsor dijadiin wisata ketimbun baru tau rasa,longsor
coba cek jejak digital dan apakah mrk menyinggung masalah saudara kita yg sdng tertimpa musibah gempa dilombokmrk sdng sibuk dng kardus amp bapermasa tragedi lombok jd alasan mrk u menundaapa gak malu spt itu,lainnya
dibawah kosan mau kluar aja repot ini dimana banjir kak,banjir
lagi kerja di lantai kaget ada gempa gabisa turun juga doa aja deh,gempa
ini baru pertama kali longsor gitu di pondok bisanya mah ga pernah tau dah karna apa,longsor
semoga maqbul uni doakan indonesia selalu dalam selamat gempa kembali landa lombok dan bali doakan saudara kita,lainnya
tidur dikosan kluar jg banjir gmna,banjir
tadi si anak anak dikelas malah bercanda pas ada gempa,gempa
lai ada musibah longsor malah dimanfaatin buat begal karna jalanan gelap trus serem ada aja manusi,longsor
kalau soal dana yang dianggap besar ini lebih substansial disoal apalagi dibandingkan dg dana utk gempa lombok silakan saja,lainnya
baru jalanan yg banjir sedengkul,banjir
sekolah dipulangin gara gara ada gempa,gempa
ijin info gaes ada longsor tepatnya di daerah semilir gunung kidul jalannya terputus kalo bisa cari alternatif laen aja,longsor
meskipun pompa ps ambulance patah dudukan alhamdulillah bisa diakalin walau tanpa power steering dibantu tmn dr iof amp dr barbagai pihak dan si bulan tetap bisa wara wiri mendatangi para korban gempa di lombok,lainnya
banjir terobos aja tinggal tunggu mogok aja,banjir
gara gara gempa tadi uts ditunda,gempa
pas banget deh longsornya pas aku udah ga dikampung jadi harus balik lagi buat jemput nenek karna sendirian,longsor
memasuki minggu ke tiga pasca bencana alam gempa bumi yang melanda pulau lombok nusa tenggara barat tni al terus melaksanakan operasi militer selain perang dengan melaksanakan bantuan pengobatan kepada para korban yang berada di pengungsian di desa sigerongan lombok barat,lainnya
samping pabrik abc banjir seperut,banjir
lagi futsal ada gempa pada kabur,gempa
yang mo kepuncak mending tahan dulu gesss soalnya macett parah efek pelebaran jalan sama tanah longsor,longsor
dengan maksud ingin membantu meringankan penderitaan masyarakat yang menjadi korban bencana alam gempa bumi di lombok para bikers gabungan dari berbagai komunitas klub,lainnya
kenapa jadinya yg banjir daerah rumah saya,banjir
di gor gempa nya kerasa banget,gempa
ga bisa lewat ga bisa lewat ku kejebak longsor di jln,longsor
turut berduka atas musibah gempa bumi dan tsunami yang terjadi di palu donggala dan kota lainnya di sulawesi tengah semoga warga disana diberikan ketabahan dan kekuatan,lainnya
banjir udah sampe depan rumah,banjir
dirumah cuma berdua ama adek pas gempa,gempa
mo post foto sisa kemarin longsor capek gais bersihinnya,longsor
berdoa untuk saudara kita yg terkena dampak gempa dan tsunami di sulteng,lainnya
udah tau banjir tp anak kecil pd lewat muluk maen aer,banjir
tadi gempa bapak gw malah karokean,gempa
pertama kali jadi korban longsor,longsor
di saat gempa dan tsunami ketika bandara ditutup ingat wapres saat tsunami aceh desember menggunakan pesawat pribadi athirah mendarat di bandara banda aceh yg retak sehari stl tsunami des berisiko pesawat lain gak berani kecuali helikopter tni,lainnya
banjir di depan komplek,banjir
gila pas gempa gw di lantai kantor dan gabisa turun,gempa
sekolahku kena longsor jadi hari ini diliburin,longsor
usai digoyang gempa bumi saluran komunikasi di donggala terputus lewat,lainnya
pulang ngantor banjir banjiran,banjir
gempa tadi sih lumayan bikin gw panik,gempa
bersyukur ajaa lah fasilitas sekolah sekarang lebih baik daripada dulu ujan dikit longsor,longsor
foto begini kondisi di palu dan donggala usai digoyang gempa bumi,lainnya
